"","fungi_biomass","bacteria_biomass","actinobacteria_biomass","gram_pos_biomass","gram_neg_biomass","total_biomass","fungi_bact_rate","beta_gluco","acid_phos","beta_xylo","chitise","cellobiohydrolase","beta_galacto","alpha_gluco","lipase"
"control.france","1.46 (0.35-2.55)<sup>ab</sup>","11.05 (4.74-20.04)<sup>acd</sup>","1.39 (0.82-2.75)<sup>ab</sup>","3.42 (1.17-6.67)<sup>a</sup>","5.99 (2.55-10.1)<sup>ab</sup>","18.61 (8.07-32.3)<sup>a</sup>","0.13 (0.06-0.24)<sup>ab</sup>","10257.09 (3754.25-23116.85)<sup>ac</sup>","31348 (14697.84-49605.46)<sup>abd</sup>","2232.09 (917.55-5452.19)<sup>ab</sup>","3243.45 (905.85-6910.96)<sup>a</sup>","2644.71 (664.43-7420.34)<sup>abd</sup>","2234.45 (569.26-4837.83)<sup>abc</sup>","1498.11 (368.71-3177.36)<sup>bc</sup>","104636.93 (54351.36-230136.63)<sup>ac</sup>"
"thinning_slash.france","1.62 (0.56-3.94)<sup>ab</sup>","10.74 (6.31-18.44)<sup>abcd</sup>","1.38 (0.72-2.44)<sup>ab</sup>","3.25 (1.42-5.71)<sup>a</sup>","5.82 (3.3-10.01)<sup>ab</sup>","18.67 (10.57-31.88)<sup>a</sup>","0.15 (0.08-0.28)<sup>a</sup>","11608.02 (1953.77-32234.16)<sup>a</sup>","38234.82 (9015.02-84746.33)<sup>a</sup>","2417.22 (486.95-5269.59)<sup>ab</sup>","3049.69 (756.78-7083.63)<sup>a</sup>","3062.85 (411.99-10642.83)<sup>ab</sup>","2384.07 (383.79-4565.85)<sup>ab</sup>","1405.09 (321.95-3146.08)<sup>abc</sup>","112542.34 (55829.54-228841.91)<sup>a</sup>"
"thinning_no_slash.france","1.52 (0.68-3.1)<sup>ab</sup>","12.02 (6.09-22.24)<sup>a</sup>","1.58 (0.84-3.02)<sup>a</sup>","3.74 (1.43-7.55)<sup>a</sup>","6.41 (3.57-10.94)<sup>a</sup>","20.42 (11.39-37.27)<sup>a</sup>","0.13 (0.07-0.21)<sup>ab</sup>","12862.11 (3814.39-29215.99)<sup>a</sup>","42402.53 (19815.45-88976.67)<sup>a</sup>","3590.71 (1270.22-10734.97)<sup>a</sup>","3645.5 (1165.59-7111.48)<sup>a</sup>","3156.75 (504.23-10994.3)<sup>a</sup>","2645.3 (994.9-6373.78)<sup>ab</sup>","1976.3 (879.04-4632.16)<sup>b</sup>","108562.47 (73107.65-163416.24)<sup>a</sup>"
"clear_cut_slash.france","1.64 (0.55-3.31)<sup>a</sup>","12.28 (6.26-18.69)<sup>a</sup>","1.5 (0.7-2.47)<sup>a</sup>","3.66 (2.02-5.64)<sup>a</sup>","6.85 (3.4-10.26)<sup>a</sup>","21.05 (10.82-32.89)<sup>a</sup>","0.13 (0.06-0.19)<sup>ab</sup>","9433.65 (3333.97-16970.27)<sup>abc</sup>","32738.61 (14661.56-54758.24)<sup>ab</sup>","2136.75 (1237.49-3476.02)<sup>b</sup>","2678.6 (1047.71-5384.19)<sup>ab</sup>","2155.96 (523.58-4923.42)<sup>abcd</sup>","2213.94 (965.45-3864.17)<sup>abc</sup>","1262.01 (107.68-2712.03)<sup>abcde</sup>","96486.06 (46502.04-156321.74)<sup>abc</sup>"
"clear_cut_no_slash.france","1.04 (0.32-2.34)<sup>abc</sup>","9.78 (4.66-17.95)<sup>abcde</sup>","1.24 (0.64-3.08)<sup>ab</sup>","3.38 (1.26-6.62)<sup>a</sup>","4.95 (2.49-8.41)<sup>abc</sup>","16.29 (8.13-30.15)<sup>abcd</sup>","0.11 (0.04-0.17)<sup>abc</sup>","7274.36 (2162.15-20554.64)<sup>abcd</sup>","27812.43 (7253.11-81782.47)<sup>abcd</sup>","2174.66 (493.64-7866.99)<sup>ab</sup>","2436.08 (348.99-9694.5)<sup>abc</sup>","2156.34 (226.81-10494.76)<sup>abcd</sup>","2737.75 (479.49-14692.48)<sup>a</sup>","1319.74 (263.65-5374.17)<sup>abcd</sup>","85839.73 (41087.19-250452.26)<sup>abcd</sup>"
"control.romania","0.09 (0.02-0.18)<sup>d</sup>","6.85 (2.81-10.43)<sup>be</sup>","1.27 (0.87-1.78)<sup>ab</sup>","3.1 (1.31-5.1)<sup>a</sup>","2.34 (0.57-4.04)<sup>de</sup>","10.36 (4.71-15.26)<sup>be</sup>","0.01 (0.01-0.02)<sup>d</sup>","4592.06 (2491.09-11584.44)<sup>bcd</sup>","19153.47 (13434.54-27947)<sup>bcde</sup>","3064.24 (1718.99-4415.39)<sup>ab</sup>","968.96 (441.9-1912.8)<sup>cd</sup>","1119.3 (294.83-2281.14)<sup>bcd</sup>","1585.78 (637.55-3230.91)<sup>abcd</sup>","809.91 (358.36-2257.73)<sup>acdef</sup>","67354.59 (43506.99-91944.48)<sup>bcde</sup>"
"thinning_slash.romania","0.12 (0.03-0.2)<sup>d</sup>","7.48 (3.87-9.69)<sup>bcde</sup>","1.35 (0.76-1.86)<sup>ab</sup>","3.27 (1.43-4.78)<sup>a</sup>","2.73 (0.97-4.05)<sup>de</sup>","11.44 (6.02-15.75)<sup>bce</sup>","0.02 (0.01-0.03)<sup>d</sup>","3787.37 (1941.02-6585.52)<sup>bd</sup>","16583.23 (11041.87-23276.88)<sup>cde</sup>","2654.99 (1683.09-3826.69)<sup>ab</sup>","677.1 (212.09-1839.7)<sup>d</sup>","803.34 (249.56-1581.31)<sup>cd</sup>","1157.73 (555.3-1886.99)<sup>abcd</sup>","495.71 (144.31-853.21)<sup>ef</sup>","62789.08 (38764.73-97968.04)<sup>bde</sup>"
"thinning_no_slash.romania","0.11 (0.02-0.25)<sup>d</sup>","6.25 (3.26-9.89)<sup>e</sup>","1.15 (0.7-1.53)<sup>ab</sup>","2.88 (1.28-4.11)<sup>a</sup>","2.09 (0.72-4.47)<sup>d</sup>","9.63 (5.35-14.68)<sup>e</sup>","0.02 (0.01-0.04)<sup>d</sup>","4018.93 (1917.51-8475.02)<sup>bd</sup>","16752.57 (9643.72-27013.31)<sup>cde</sup>","3000.31 (1784.99-5082.67)<sup>ab</sup>","745.13 (376.41-1415.45)<sup>d</sup>","909.45 (324.59-2278.96)<sup>cd</sup>","1197.24 (659.28-2014.87)<sup>abcd</sup>","636.6 (259.24-1338.05)<sup>adef</sup>","61005.53 (40457.14-84670.04)<sup>bde</sup>"
"clear_cut_slash.romania","0.13 (0.06-0.27)<sup>d</sup>","7.45 (4.96-10.93)<sup>bcde</sup>","1.21 (0.86-1.68)<sup>ab</sup>","3.3 (1.71-4.77)<sup>a</sup>","2.8 (1.92-4.62)<sup>de</sup>","11.42 (7.45-16.16)<sup>bce</sup>","0.02 (0.01-0.03)<sup>d</sup>","3369.96 (2128.62-5503.16)<sup>d</sup>","16342.58 (13117.39-19899.47)<sup>cde</sup>","2581.67 (1561.71-3727.59)<sup>ab</sup>","706.9 (380.68-1583.67)<sup>d</sup>","827.66 (420.54-1853.28)<sup>cd</sup>","1102.12 (527.2-2120.49)<sup>abcd</sup>","578.88 (260.05-1496.99)<sup>def</sup>","57887.6 (36464.58-76827.14)<sup>bde</sup>"
"clear_cut_no_slash.romania","0.12 (0.03-0.27)<sup>d</sup>","7.04 (4.22-11.08)<sup>bce</sup>","1.2 (0.74-1.78)<sup>ab</sup>","3.07 (1.45-4.8)<sup>a</sup>","2.64 (0.93-4.77)<sup>de</sup>","10.85 (6.67-16.72)<sup>be</sup>","0.02 (0.01-0.03)<sup>d</sup>","3386.67 (1906.18-5549.27)<sup>d</sup>","17318.22 (10108.43-34353.79)<sup>cde</sup>","2363.23 (1262.63-3721.03)<sup>ab</sup>","831.77 (68.47-2081.53)<sup>d</sup>","607.31 (-87.99-1329.3)<sup>c</sup>","1026.77 (236.89-1705.99)<sup>bcd</sup>","488.83 (-226.83-962.26)<sup>ef</sup>","55498.18 (36886.16-71686.21)<sup>de</sup>"
"control.spain","1.07 (0.53-1.89)<sup>abc</sup>","10.85 (6.57-17.13)<sup>ad</sup>","1.2 (0.83-1.69)<sup>ab</sup>","3.92 (2.06-5.65)<sup>a</sup>","5.5 (3.44-9.62)<sup>ab</sup>","16.89 (10.59-26.23)<sup>acd</sup>","0.1 (0.06-0.13)<sup>bc</sup>","4387.19 (652.97-11580.45)<sup>bd</sup>","15413.48 (2742.62-36831.65)<sup>ce</sup>","718.78 (102.48-1603.83)<sup>c</sup>","967.2 (278.49-2196.06)<sup>d</sup>","830.61 (98.21-2456.68)<sup>c</sup>","702.41 (201.57-1579)<sup>cd</sup>","413.53 (0-1355.98)<sup>f</sup>","57178.44 (32581.57-99396.65)<sup>de</sup>"
"thinning_slash.spain","1.32 (0.48-3.71)<sup>ab</sup>","10.95 (4.39-17.45)<sup>ad</sup>","1.28 (0.64-1.87)<sup>ab</sup>","3.98 (1.77-6.29)<sup>a</sup>","5.45 (1.68-9.33)<sup>ab</sup>","17.49 (8.4-29.56)<sup>ad</sup>","0.12 (0.06-0.25)<sup>ab</sup>","5474.78 (523.24-16199.63)<sup>bcd</sup>","15406.83 (2529.35-46588.62)<sup>ce</sup>","621.1 (35.08-1315.7)<sup>c</sup>","1362.76 (9.14-4877.43)<sup>bcd</sup>","1237.19 (0-3676.31)<sup>cd</sup>","816.68 (12.42-3110.28)<sup>cd</sup>","315.89 (0-953.34)<sup>f</sup>","54486.42 (15972.43-111303.8)<sup>de</sup>"
"thinning_no_slash.spain","0.57 (0.22-0.98)<sup>cd</sup>","7.3 (2.79-12.11)<sup>be</sup>","0.93 (0.41-1.36)<sup>b</sup>","2.89 (0.97-4.64)<sup>a</sup>","3.32 (1.34-5.83)<sup>cde</sup>","11.15 (4.51-17.79)<sup>be</sup>","0.08 (0.04-0.14)<sup>c</sup>","3068.5 (130.53-13089.01)<sup>d</sup>","10763.33 (395.2-29956.58)<sup>e</sup>","490.24 (0-1324.45)<sup>c</sup>","914 (63.36-2279.12)<sup>d</sup>","527.21 (0-2546.58)<sup>c</sup>","349.02 (0-1243.01)<sup>d</sup>","207.48 (0-724.59)<sup>f</sup>","43907.85 (16236.59-109494.9)<sup>e</sup>"
"clear_cut_slash.spain","1.01 (0.37-1.78)<sup>bc</sup>","10.69 (5.54-16.9)<sup>acd</sup>","1.17 (0.67-1.82)<sup>ab</sup>","3.97 (2.09-6.08)<sup>a</sup>","5.33 (2.66-9.19)<sup>ab</sup>","16.81 (9.11-26.11)<sup>acd</sup>","0.09 (0.05-0.13)<sup>bc</sup>","4504.75 (762.55-18025.72)<sup>bd</sup>","12353.71 (2657.88-34789.92)<sup>e</sup>","532.85 (0-1611.29)<sup>c</sup>","767.6 (96.24-1997.31)<sup>d</sup>","716.95 (0-2890.01)<sup>c</sup>","555.36 (3.28-1454.96)<sup>d</sup>","250.73 (0-801.04)<sup>f</sup>","51849.12 (19017.72-141442.52)<sup>de</sup>"
"clear_cut_no_slash.spain","0.64 (0.18-1.07)<sup>cd</sup>","8.35 (4-12.63)<sup>bcde</sup>","0.98 (0.54-1.45)<sup>b</sup>","3.14 (1.35-4.78)<sup>a</sup>","4.07 (1.83-6.97)<sup>bce</sup>","12.68 (5.94-19.25)<sup>bcde</sup>","0.07 (0.03-0.14)<sup>c</sup>","2818.88 (476.49-10817.36)<sup>d</sup>","7845.63 (1379.2-27019.16)<sup>e</sup>","363.22 (-49.17-966.91)<sup>c</sup>","595.22 (31.63-1686.62)<sup>d</sup>","363.71 (-14.7-1329.93)<sup>c</sup>","254.05 (-6.97-847.16)<sup>d</sup>","151.95 (-259.99-592.42)<sup>f</sup>","40101.74 (11496.82-91337.96)<sup>e</sup>"
